I,NAME,COMPOSER,FITNESS,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD
115,Es flog ein kleins Waldvoegelein,,4.014224904012966,0.7215686274509805,0.29411764705882354,-1.0,0.6090909090909091,0.030303030303030304,0.0,-0.0,0.0,-0.07549019607843137,0.9026787667531769,0.4701829179986783
116,Herzens Schluessel,,3.801168451910869,0.6159420289855073,0.2608695652173913,-1.0,0.5333333333333333,0.1,0.0,-0.05084745762711865,0.0,-0.20289855072463767,0.6993564370696858,0.44033979061202294
117,Herzens Schluessel,,4.060302453447614,0.6597222222222221,0.3125,1.0,0.45555555555555555,0.0851063829787234,0.0,-0.0,-0.16666666666666666,-0.1875,0.9272095892825666,0.43874519730067424
118,Rosengarten,,3.819409820731211,0.6519607843137255,0.38235294117647056,-1.0,0.4365079365079365,0.12121212121212122,0.0,-0.0,0.0,-0.20490196078431375,0.9339946886503225,0.40439048713649595
119,Wurzgaertelein,,3.0534069790330864,0.7587301587301587,0.23809523809523808,0.5,0.32608695652173914,0.10975609756097561,0.0,-0.0851063829787234,-0.047619047619047616,-0.09523809523809523,0.3428704384594172,0.25439276485788115
120,Sommerlied,,4.19869439346021,0.6733333333333333,0.26,1.0,0.28378378378378377,0.07142857142857142,0.0,-0.0,-0.08,-0.05,0.9622508588546325,0.9807549889170311
121,Weltliches Mailied,,3.9435102139338336,0.6346153846153846,0.23076923076923078,-1.0,0.425,0.08,0.0,-0.0,0.0,-0.14102564102564102,0.8162608914406091,0.26262247237856995
122,Bunte Blumen,,3.8183977680256667,0.6862745098039216,0.4411764705882353,1.0,0.47368421052631576,0.13636363636363635,0.0,-0.0,0.0,-0.22549019607843138,1.0,0.4895110414311302
123,Roth Roeslein,,3.9275442919565853,0.6222222222222222,0.03333333333333333,1.0,0.4166666666666667,0.10344827586206896,0.0,-0.0,0.0,-0.2,0.6587703455964325,0.3333333333333333
125,Jahreszeiten und Liebe,,4.0617005175554,0.44642857142857134,-0.32142857142857145,-1.0,0.09523809523809523,0.018518518518518517,0.0,-0.0,-0.2857142857142857,-0.1130952380952381,0.509486796737028,0.1911725225678714
128,Reif und Schnee,,4.0668724412842066,0.7055555555555555,0.05555555555555555,1.0,0.48148148148148145,0.058823529411764705,0.0,-0.0,0.0,-0.21666666666666667,0.5211375661375661,0.24358974358974358
133,Verschneiter Weg,,3.898961498411546,0.6423076923076922,0.19230769230769232,-1.0,0.3953488372093023,0.08,0.0,-0.021739130434782608,-0.07692307692307693,-0.24358974358974358,0.7546163768795646,0.4632556666249236
134,Kuckuk,,3.7309580197421,0.5358974358974359,0.11538461538461539,-1.0,0.2962962962962963,0.14,0.0,-0.02631578947368421,-0.15384615384615385,-0.0923076923076923,0.5944335244335244,0.21275425712807117
136,Alte Kuckukslieder (Kuckuks Ausflug),,4.434595841455491,0.7583333333333333,0.2,-1.0,0.52,0.07894736842105263,0.0,-0.0,0.0,-0.12499999999999997,0.9685669515669515,0.1583570750237417
137,Alte Kuckukslieder (Kuckuks Verachtung),,3.9082221869096174,0.4222222222222222,-0.16666666666666666,-1.0,0.12903225806451613,0.10344827586206896,0.0,-0.0,0.0,-0.24444444444444444,0.7656820063716616,0.21637713499782465
138,Alte Kuckukslieder (Kuckuks Noth),,3.76608449030343,0.36231884057971014,-0.17391304347826086,-1.0,0.05,0.044444444444444446,0.0,-0.0,0.0,-0.043478260869565216,0.8466561608047677,0.16583737098442983
139,Kaeuzlein,,3.485600215600216,0.5476190476190476,0.21428571428571427,-1.0,0.25675675675675674,0.18518518518518517,0.0,-0.0,-0.07142857142857142,-0.10357142857142856,0.6634550947708843,0.25775978407557354
140,Kaeuzlein,,3.7859217384860435,0.7307692307692307,0.5384615384615384,1.0,0.5434782608695652,0.16,0.0,-0.0,0.0,-0.25256410256410255,0.7790163526522006,0.6016322531694057
141,Lindenlaub,,3.8660253459095832,0.7208333333333333,0.125,0.5,0.5,0.043478260869565216,-0.02631578947368421,-0.0,0.0,-0.25972222222222224,0.6770316611493082,0.1493993993993994
142,"Nun laube, Lindlein, laube",,4.0895735197114504,0.55,0.25,-1.0,0.25,0.0,0.0,-0.034482758620689655,-0.3,0.0,0.9450907610907612,0.24
143,Die Linde im Thal,,3.2713619762381367,0.6474358974358974,0.2692307692307692,0.5,0.39705882352941174,0.16,-0.025,-0.05,-0.15384615384615385,-0.10897435897435896,0.5319752430278746,0.2136977313447902
144,Die Linde im Thal,,3.795938205783906,0.4816849816849817,0.07692307692307693,-1.0,0.21428571428571427,0.06,0.0,-0.075,-0.3076923076923077,-0.0641025641025641,0.5044500197131777,0.7856456952282379
145,Espen - Zweiglein,,3.551962771097544,0.5487179487179487,0.15384615384615385,1.0,0.2638888888888889,0.12,0.0,-0.023255813953488372,-0.15384615384615385,-0.08333333333333333,0.5451770608510018,0.2924102746471168
146,Espen - Zweiglein,,3.518441125004855,0.4944444444444443,0.0,-1.0,0.3235294117647059,0.21739130434782608,0.0,-0.027777777777777776,0.0,-0.08333333333333333,0.5940936609247804,0.2873461988923613
148,Sichelein - Rauschen,,3.554779298698277,0.6738095238095239,0.2857142857142857,-1.0,0.3392857142857143,0.1111111111111111,0.0,-0.029411764705882353,-0.07142857142857142,-0.05357142857142857,0.4726057572386827,0.18850806451612903
154,Lockung,,3.9749034700510952,0.6694805194805196,0.13636363636363635,-1.0,0.5555555555555556,0.023809523809523808,-0.023809523809523808,-0.023809523809523808,0.0,-0.09848484848484848,0.45338839975553713,0.1894517406712529
155,Gerstebinden,,3.598045224410675,0.3888888888888889,-0.2222222222222222,-1.0,0.14516129032258066,0.07142857142857142,0.0,-0.021739130434782608,-0.1111111111111111,-0.12962962962962962,0.43912771667734807,0.28840619344731655
156,Goldringlein,,3.864213852043508,0.6166666666666667,0.1,0.5,0.5,0.07692307692307693,0.0,-0.20454545454545456,0.0,0.0,0.905781697032406,0.18585688927794192
157,Brauns Maegdelein,,3.760734989179305,0.7058823529411764,0.38235294117647056,1.0,0.4473684210526316,0.21212121212121213,0.0,-0.0,-0.17647058823529413,-0.053921568627450976,0.8936276267950574,0.42206141517462276
159,"Krauserlin, Mauserlin",,3.8301432269474494,0.37654320987654316,-0.25925925925925924,-1.0,-0.057692307692307696,0.02830188679245283,0.0,-0.0,-0.18518518518518517,-0.12345679012345678,0.8003979378887314,0.5559104237144185
160,Murr nur nit!,,3.7770351901901913,0.53125,0.078125,-1.0,0.13333333333333333,0.023809523809523808,0.0,-0.0,-0.09375,-0.109375,0.9425751996217098,0.43131381895532844
161,Huete du dich!,,4.447336986268331,0.6466666666666667,0.18,0.5,1.0,0.061224489795918366,0.0,-0.3695652173913043,0.0,-0.14666666666666667,0.8087574554392478,0.28309453009963503
162,Von einem stolzen Dirnelein,,4.492683488268471,0.8484848484848484,0.36363636363636365,-1.0,0.896551724137931,0.09302325581395349,0.0,-0.0,0.0,-0.12878787878787878,0.9342263315947527,0.3587076752866227
163,Von einem stolzen Dirnelein,,3.972348886811129,0.7142857142857143,0.5,-1.0,0.52,0.038461538461538464,0.0,-0.0,0.0,-0.2285714285714286,0.9388972431077693,0.39094396069224446
164,Mahnung der Liebe,,3.9358789517574686,0.5277777777777779,0.08333333333333333,-1.0,0.175,0.11864406779661017,0.0,-0.022222222222222223,-0.2,-0.03333333333333333,0.691872463870629,0.9876505556834498
166,Stuebelein,,3.395677847837442,0.7270114942528736,0.22413793103448276,0.5,0.25,0.10526315789473684,-0.01639344262295082,-0.22950819672131148,0.0,0.0,0.7466216241949116,0.24445582102538635
167,Farben - Lied,,4.10449061560302,0.574074074074074,0.037037037037037035,-1.0,0.3695652173913043,0.08490566037735849,0.0,-0.04477611940298507,-0.14814814814814814,-0.08024691358024691,0.8409355675686321,0.3313127271479749
175,Nachreue,,3.579118738522487,0.7235294117647059,0.20588235294117646,0.5,0.5,0.030303030303030304,0.0,-0.0,0.0,-0.18333333333333332,0.8784060267963005,0.5300353498723541
179,Klage ueber Untreue,,2.868278908601755,0.6033333333333333,0.25,0.5,0.2403846153846154,0.23076923076923078,0.0,-0.046875,-0.2,-0.034999999999999996,0.715192949853653,0.49173775920061563
180,Feinslieb von Flandern,,3.7052520488197143,0.5892857142857143,0.17857142857142858,-1.0,0.3048780487804878,0.07407407407407407,0.0,-0.0,0.0,-0.041666666666666664,0.943899344353126,0.4218322226207782
188,Nesselkranz,,4.299092212135691,0.7435897435897437,0.38461538461538464,1.0,0.625,0.04,0.0,-0.0,0.0,-0.20512820512820512,0.8215970261622436,0.17160737812911728
189,Zur Johannisfeier,,3.467801643374399,0.5357142857142857,0.21428571428571427,-1.0,0.18421052631578946,0.07692307692307693,0.0,-0.0,0.0,0.0,0.746298098186643,0.2072124756335283
191,Der Mutter und Tochter dasselbe gefaellt,,4.320968017489757,0.6481481481481483,0.16666666666666666,-1.0,0.4166666666666667,0.0,0.0,-0.0,0.0,-0.08333333333333333,0.8812987382987384,0.958187797709537
193,Letzter Versuch,,2.939683894170529,0.6861111111111112,0.3333333333333333,0.5,0.4107142857142857,0.10869565217391304,0.0,-0.05555555555555555,0.0,-0.16944444444444443,0.5317799436490139,0.5281075392033647
195,Brautwerbung,,4.038847120908512,0.5208333333333334,0.0,-1.0,0.25,0.09574468085106383,-0.03614457831325301,-0.0,0.0,-0.2881944444444444,0.9670196665344346,0.5723997791341107
197,Habenichts will freien,,3.9978902007879684,0.5151515151515151,-0.045454545454545456,-1.0,0.38372093023255816,0.1511627906976744,-0.017543859649122806,-0.0,-0.09090909090909091,0.0,0.9622508588546325,0.3659778087658221
201,Herori matori!,,4.262351738675268,0.5833333333333333,0.027777777777777776,-1.0,0.34,0.12857142857142856,0.0,-0.0,0.0,-0.2037037037037037,0.8472194635429929,0.05555555555555555
202,Rautenstraeuchlein oder Traum eines Ehemannes,,3.6359210977046175,0.6092592592592594,0.2222222222222222,-1.0,0.4342105263157895,0.05714285714285714,0.0,-0.018867924528301886,-0.05555555555555555,-0.15925925925925924,0.631232185181765,0.5069014669697667
203,Nach den Flitterwochen oder das boese Weib,,3.73789191153802,0.6041666666666666,0.175,1.0,0.3090909090909091,0.1282051282051282,0.0,-0.0,-0.2,-0.0875,0.747868304372852,0.40752884038727955
205,Vogelhochzeit,,3.9063704338040197,0.6127450980392157,0.14705882352941177,-1.0,0.38636363636363635,0.015151515151515152,0.0,-0.02857142857142857,0.0,-0.029411764705882353,0.688850698637226,0.17736185383244207
206,Ich fahr dahin,,4.207027896084379,0.753968253968254,0.35714285714285715,1.0,0.5,0.12195121951219512,-0.024390243902439025,-0.0,0.0,-0.09523809523809523,0.9131664052716685,0.10064102564102564
208,Abschied von Insbruck,,3.556528762560881,0.548888888888889,0.1,-1.0,0.125,0.1206896551724138,0.0,-0.0,-0.3333333333333333,-0.016666666666666666,0.7026154546925153,0.4492859258481099
209,Vom christlichen Abschied aus dieser Welt,,3.4398320386689996,0.5222222222222223,0.06666666666666667,-1.0,0.24468085106382978,0.1206896551724138,0.0,-0.0,0.0,-0.03333333333333333,0.7954587197638815,0.5314932341248131
210,Abendlied,,3.8449411557306297,0.6282051282051282,0.07692307692307693,0.5,0.39473684210526316,0.0,0.0,-0.0,-0.07692307692307693,-0.1346153846153846,1.0,0.6873838008048534
211,Abschied,,4.007606455558142,0.5775862068965517,0.22413793103448276,1.0,0.3627450980392157,0.14035087719298245,-0.013513513513513514,-0.013513513513513514,-0.06896551724137931,-0.0603448275862069,0.7899254330829127,0.9855011539123149
212,Abschied,,3.747458472413408,0.5544871794871795,0.11538461538461539,-1.0,0.13953488372093023,0.18627450980392157,0.0,-0.06756756756756757,-0.07692307692307693,-0.0673076923076923,0.6577960436831831,0.9855011539123149
214,Wanderlied,,3.9517116293405725,0.5797101449275363,0.13043478260869565,-1.0,0.4423076923076923,0.2,0.0,-0.0,-0.17391304347826086,-0.12318840579710144,0.8910947811883163,0.42806765574963945
215,Das Lied vom Scheiden,,3.6211720594397647,0.6026666666666667,0.1,-1.0,0.32978723404255317,0.11224489795918367,0.0,-0.030303030303030304,-0.08,-0.078,0.571975529611701,0.6406844967749972
221,Kranzsingen,,3.6499323792729865,0.582010582010582,0.0,0.5,0.1,0.058823529411764705,0.0,-0.0,-0.3333333333333333,-0.15555555555555556,0.7809846362787539,0.2431281984934736
222,Kranzsingen,,3.5583751354948108,0.5648148148148148,0.16666666666666666,0.5,-0.25,0.029411764705882353,0.0,-0.0,-0.2222222222222222,-0.1111111111111111,0.9086042692939245,0.3022988505747126
223,Kranzsingen,,3.8113889251341817,0.6425925925925926,0.2222222222222222,0.5,0.4230769230769231,0.08823529411764706,0.0,-0.0,-0.3333333333333333,-0.10555555555555556,0.775554165947904,0.15826612903225806
224,Kranzsingen,,3.7114334784475917,0.6,0.16666666666666666,-1.0,0.2926829268292683,0.029411764705882353,0.0,-0.0,0.0,-0.14444444444444446,0.8381206828575248,0.4677361443110969
225,Sommergewinn,,4.260250789468181,0.7619047619047619,0.25,-1.0,0.6,0.07407407407407407,0.0,-0.0,0.0,-0.14285714285714285,0.8414251835121401,0.73813777526821
226,Buchsbaum und Felbinger,,3.6377681256657897,0.49444444444444446,0.1111111111111111,-1.0,0.21428571428571427,0.0,0.0,-0.0,0.0,-0.2111111111111111,0.5241992572582117,0.19516129032258067
228,Buchsbaum und Felbinger,,4.45068718965406,0.5882352941176471,-0.029411764705882353,1.0,0.6,0.06060606060606061,0.0,-0.0,0.0,-0.08823529411764706,0.9628608760332898,0.25744997871434655
229,Alter Reihentanz um das erste Veilchen,,4.075618156353451,0.5757575757575757,0.09090909090909091,-1.0,0.3709677419354839,0.11904761904761904,0.0,-0.0,0.0,-0.25757575757575757,0.7145179978149617,0.13324420677361853
232,Kranzsingen,,3.521392993979201,0.612962962962963,0.2777777777777778,0.5,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.1388888888888889,0.9455172413793104,0.2315316548075169
233,Abendreihen,,4.3241633617156685,0.7291666666666667,0.1875,0.5,0.8333333333333334,0.03225806451612903,0.0,-0.02564102564102564,0.0,-0.21875,0.764851158101932,0.97217924248884
234,Abendreihen,,3.7203648920350574,0.6666666666666666,0.2916666666666667,1.0,0.4827586206896552,0.1956521739130435,0.0,-0.0,0.0,-0.09722222222222221,0.7925323565323567,0.3314961334961335
235,Abendreihen,,2.7836284875158626,0.6041666666666667,0.28125,0.5,-0.0625,0.03225806451612903,0.0,-0.06451612903225806,-0.125,0.0,0.6424588438381542,0.4015050875050875
236,Abendreihen,,3.6402710298830177,0.6372549019607844,0.2647058823529412,-1.0,-0.1,0.030303030303030304,0.0,-0.0,-0.23529411764705882,0.0,0.9604301075268818,0.49769918459573637
237,Ringeltanz,,4.536955171805569,0.7063492063492064,0.11904761904761904,-1.0,0.53125,0.024390243902439025,0.0,-0.0,0.0,-0.16666666666666666,0.911445993031359,0.8646811687083951
238,Ringeltanz,,4.300324723934791,0.6764705882352942,0.11764705882352941,1.0,0.4473684210526316,0.06060606060606061,0.0,-0.0,0.0,-0.28431372549019607,0.794890950262196,0.22446584167593622
240,Ein Abendreihen vom Herrn Christo,,4.038523112501144,0.5303030303030303,-0.045454545454545456,-1.0,0.22857142857142856,0.19047619047619047,0.0,-0.0,0.0,-0.18939393939393936,0.8686096925877237,0.13333333333333333
241,Abendreihen mit Kranzsingen,,3.832446004566748,0.4878787878787879,0.0,-1.0,0.09722222222222222,0.047619047619047616,0.0,-0.0,-0.18181818181818182,-0.17272727272727273,0.6364503335710766,0.19603174603174603
