I,NAME,COMPOSER,FITNESS,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,,,,,,,,,,,,,,
26,Schwimmersage,,1.114951925,0.53125,0.0625,-1,0.416666667,0.064516129,0,0,0,0,0.805230769,0.23478836,,,,,,,,,,,,,,
27,Zwei Koenigskinder,,0.811042146,0.460784314,0.029411765,-1,0.243589744,0.106060606,0,0,0,-0.058823529,0.837268208,0.19275104,,,,,,,,,,,,,,
28,Zwei Koenigskinder,,0.650759157,0.539215686,0,-1,0.265625,0.03030303,0,0,0,-0.029411765,0.609644141,0.235383065,,,,,,,,,,,,,,
29,Das Schloss in Oesterreich,,0.305167285,0.47987013,0.136363636,-1,0.185714286,0.19047619,0,-0.022727273,-0.272727273,-0.093939394,0.538995957,0.163141026,,,,,,,,,,,,,,
30,Das Schloss in Oesterreich,,3.579873073,0.725490196,0.470588235,1,0.388888889,0.212121212,-0.027777778,0,0,-0.058823529,0.768545512,0.100840336,,,,,,,,,,,,,,
31,Das Schloss im Oberland (Falkenstein),,1.260114982,0.663888889,0.416666667,-1,0.435897436,0.152173913,0,-0.023809524,-0.166666667,-0.0625,0.71625914,0.128205128,,,,,,,,,,,,,,
32,Herr von Falkenstein,,-0.0488614,0.42037037,-0.333333333,-1,0.045454545,0.147058824,0,0,0,-0.101851852,0.574576409,0.198863636,,,,,,,,,,,,,,
33,Der gefangene Hans,,0.222613579,0.543859649,0,-1,0.224137931,0,0,-0.024390244,0,-0.149122807,0.439988024,0.188141026,,,,,,,,,,,,,,
34,Peter Unverdorben,,0.092058824,0.461111111,0,-1,0.264705882,0.066666667,0,0,-0.25,-0.066666667,0.456668152,0.159573678,,,,,,,,,,,,,,
35,Die Frau zur Weissenburg,,0.845014958,0.490196078,0.088235294,-1,0.217391304,0.121212121,0,0,0,-0.12745098,0.825790988,0.229640152,,,,,,,,,,,,,,
36,Die Frau von Luxemburg,,0.344060164,0.547222222,0.083333333,-1,0.267857143,0.086956522,0,-0.057142857,0,-0.125,0.353333801,0.1875,,,,,,,,,,,,,,
37,Die drei Grafen,,0.26751974,0.509259259,0,-1,0.148148148,0,0,0,-0.111111111,-0.055555556,0.702704925,0.074074074,,,,,,,,,,,,,,
38,Vom jungen Grafen,,1.327872469,0.559090909,0.227272727,-1,0.276595745,0.095238095,0,0,0,-0.159090909,0.966085947,0.362679956,,,,,,,,,,,,,,
39,Treue Liebe,,3.430421881,0.723958333,0.25,1,0.590909091,0.064516129,0,0,0,-0.052083333,0.573342519,0.279779142,,,,,,,,,,,,,,
40,Unter der Linde,,-0.034473835,0.431372549,-0.176470588,-1,0.035714286,0.015151515,0,0,0,-0.156862745,0.732494164,0.084126984,,,,,,,,,,,,,,
41,Zwei Gespielinnen,,-0.53968363,0.372619048,-0.111111111,-1,-0.028571429,0.058823529,0,0,-0.333333333,-0.168518519,0.441625078,0.228783106,,,,,,,,,,,,,,
42,Der Todwunde,,3.167002442,0.816666667,0.3,0.5,0.625,0.055555556,0,0,0,-0.35,1,0.21978022,,,,,,,,,,,,,,
43,Die stolze (schoene) Muellerin,,0.985852626,0.426470588,-0.058823529,-1,0.105263158,0.03030303,0,0,0,0,0.862532188,0.620107191,,,,,,,,,,,,,,
44,Die schoene Muellerin,,1.060020793,0.480392157,-0.117647059,-1,0.075471698,0.015151515,0,0,-0.117647059,-0.058823529,0.906657155,0.876465915,,,,,,,,,,,,,,
45,Frau Fischerin,,1.663826744,0.491452991,0.08974359,-1,0.571428571,0.025974026,-0.011363636,-0.193181818,0,-0.111111111,0.985570855,0.815313276,,,,,,,,,,,,,,
46,Der Bettler,,1.369334028,0.726851852,0.5,-1,0.391304348,0.142857143,0,-0.024390244,-0.055555556,-0.050925926,0.565978712,0.1732137,,,,,,,,,,,,,,
47,Der Koenigssohn,,0.504244903,0.647619048,0.142857143,-1,0.320512821,0.111111111,0,-0.022222222,-0.142857143,-0.101190476,0.453176527,0.095238095,,,,,,,,,,,,,,
48,Schoen Elselein oder das Schwabentoechterlein,,0.175692562,0.486904762,-0.071428571,-1,0.197674419,0.074074074,0,-0.02173913,0,-0.125,0.556924181,0.078282828,,,,,,,,,,,,,,
49,Schwabentoechterlein,,-0.320931298,0.378205128,-0.076923077,-1,0.027777778,0,0,-0.03030303,-0.153846154,-0.192307692,0.490833565,0.235632184,,,,,,,,,,,,,,
50,Gretlein,,1.067447471,0.569444444,0.166666667,-1,0.411764706,0.085714286,0,0,-0.055555556,-0.125,0.759920533,0.254492391,,,,,,,,,,,,,,
51,Gretlein,,0.480886685,0.428787879,0.090909091,-1,0.2375,0,-0.025,0,0,-0.157575758,0.65413176,0.252133713,,,,,,,,,,,,,,
52,Die schoene Magdalene,,1.668853045,0.472222222,-0.055555556,0.5,-0.153846154,0.176470588,0,-0.035714286,0,-0.277777778,0.756010281,0.287043726,,,,,,,,,,,,,,
53,Das wackere Maegdlein,,-0.244979005,0.259259259,-0.277777778,-1,-0.12962963,0.057142857,0,0,-0.055555556,-0.083333333,0.797053364,0.187861811,,,,,,,,,,,,,,
54,Laemmerweide,,-0.002789027,0.394736842,0.052631579,-1,-0.044444444,0.040540541,0,0,-0.210526316,-0.109649123,0.688972915,0.18494898,,,,,,,,,,,,,,
55,Laemmerweide,,0.771990401,0.525,0.25,-1,0.175675676,0.037037037,0,0,-0.285714286,-0.035714286,0.902322714,0.203383545,,,,,,,,,,,,,,
56,Laemmerweide,,1.182476259,0.58452381,0.178571429,-1,0.75,0.018518519,-0.024390244,-0.097560976,0,-0.053571429,0.630528261,0.195856889,,,,,,,,,,,,,,
57,Die Maid vom Rosenthal,,0.807193064,0.571428571,0.142857143,-1,0.325,0,0,0,0,-0.198412698,0.819460813,0.146859235,,,,,,,,,,,,,,
58,Malers Toechterlein,,-0.205601742,0.320634921,-0.214285714,-1,0.120689655,0.012195122,0,-0.023255814,0,-0.047619048,0.349906732,0.276132404,,,,,,,,,,,,,,
59,Die Waescherin,,0.300593519,0.408333333,-0.055555556,-1,0.245614035,0.1,0,-0.032258065,-0.111111111,-0.105555556,0.599985727,0.25114071,,,,,,,,,,,,,,
60,Winterrosen,,1.669179172,0.520833333,-0.083333333,0.5,0.210526316,0.130434783,0,0,-0.25,-0.194444444,0.457598416,0.377564103,,,,,,,,,,,,,,
61,Am Brunnen,,0.193726085,0.378787879,-0.25,-1,0.05,0.046511628,0,0,-0.272727273,-0.178030303,0.96399553,0.455188623,,,,,,,,,,,,,,
62,Das Maedchen und die Hasel,,0.909314197,0.570512821,0.192307692,-1,0.28125,0.1,0,0,-0.307692308,-0.166666667,0.942811215,0.296791444,,,,,,,,,,,,,,
63,Der verlorene Rosenkranz,,0.846391206,0.640350877,0.131578947,-1,0.7,0.040540541,0,-0.256410256,0,-0.254385965,0.743097303,0.101619759,,,,,,,,,,,,,,
64,Der verlorene Rosenkranz,,1.076560464,0.601515152,0.181818182,-1,0.484848485,0.166666667,-0.028571429,0,-0.090909091,-0.195454545,0.653616741,0.303030303,,,,,,,,,,,,,,
65,Ritter und Maid,,-0.004685986,0.327777778,-0.166666667,-1,-0.066666667,0.088235294,0,0,0,-0.044444444,0.683433399,0.17364532,,,,,,,,,,,,,,
66,Ritter und Maid,,0.47025608,0.396296296,-0.055555556,-1,0.142857143,0.029411765,0,0,0,-0.055555556,0.844985895,0.167816092,,,,,,,,,,,,,,
67,Ritter und Maedchen,,-0.227780859,0.442307692,-0.038461538,-1,0.102941176,0.1,0,0,-0.307692308,-0.211538462,0.548776694,0.135885886,,,,,,,,,,,,,,
68,Der Schreiber im Garten,,0.846504882,0.437878788,0.318181818,-1,0.175,0.142857143,0,0,0,-0.25,0.752006836,0.270580297,,,,,,,,,,,,,,
69,Nachtfahrt,,0.577910053,0.398148148,0.111111111,-1,0.291666667,0,0,0,-0.111111111,-0.25,0.971428571,0.166666667,,,,,,,,,,,,,,
70,Nachtfahrt,,0.768964055,0.539215686,0,-1,0.375,0.060606061,0,-0.026315789,-0.058823529,-0.029411765,0.74014375,0.168549642,,,,,,,,,,,,,,
71,Die plappernden Junggesellen,,-0.437640507,0.245098039,-0.529411765,-1,-0.184782609,0.060606061,0,0,0,-0.073529412,0.782341837,0.262037342,,,,,,,,,,,,,,
72,Der Rheinschiffer,,3.149145913,0.645833333,0.145833333,1,0.515625,0.053191489,-0.024390244,-0.024390244,-0.041666667,0,0.559820975,0.319288936,,,,,,,,,,,,,,
73,Der Reuter,,-0.395988364,0.313265306,-0.285714286,-1,0.053571429,0,0,0,-0.142857143,-0.175510204,0.617923201,0.223333333,,,,,,,,,,,,,,
74,Der Ackermann,,-0.059280644,0.379166667,-0.125,-1,-0.15625,0.038461538,0,-0.041666667,-0.25,-0.091666667,0.899346958,0.288327526,,,,,,,,,,,,,,
75,Der schelmische Bauer,,0.505894965,0.433333333,-0.033333333,-1,-0.032608696,0,0,0,-0.266666667,-0.088888889,0.938348514,0.555710702,,,,,,,,,,,,,,
76,Die Wise van Potteren,,0.653419786,0.583333333,0.175,-1,0.44047619,0.025641026,0,0,-0.25,-0.179166667,0.683911088,0.174224816,,,,,,,,,,,,,,
77,Die niederlaendischen Grasmaedchen,,0.853639767,0.657407407,0.277777778,-1,0.439393939,0,0,0,-0.111111111,-0.111111111,0.48410869,0.217174175,,,,,,,,,,,,,,
78,Der blaue Storch,,0.819291962,0.569444444,0.083333333,-1,0.25,0.057142857,0,0,0,-0.157407407,0.854616572,0.162162162,,,,,,,,,,,,,,
79,Graserin und Ritter,,-0.284688555,0.313888889,-0.458333333,-1,-0.069444444,0,0,0,-0.166666667,0,0.894637199,0.201229801,,,,,,,,,,,,,,
80,Des Markgrafen junge Braut,,1.080617933,0.738095238,0.214285714,-1,0.364864865,0.185185185,0,0,-0.142857143,-0.042857143,0.587619165,0.176282051,,,,,,,,,,,,,,
81,Wassermanns Braut,,0.809253355,0.545454545,0.227272727,-1,0.25,0.047619048,-0.028571429,0,0,0,0.590391654,0.177086809,,,,,,,,,,,,,,
82,Die verkaufte Muellerin,,1.322061026,0.523809524,0.214285714,-1,0.225,0.307692308,0,0,0,-0.057142857,0.734923019,0.373493318,,,,,,,,,,,,,,
83,Die Kindsmoerderin,,-0.282854391,0.37037037,-0.388888889,-1,-0.076923077,0.029411765,0,0,0,-0.101851852,0.885027292,0,,,,,,,,,,,,,,
84,Fuenf Soehne,,0.942607768,0.659090909,0.181818182,-1,0.418367347,0.046511628,-0.018518519,-0.018518519,0,-0.185606061,0.606607639,0.252855161,,,,,,,,,,,,,,
85,Die Stiefmutter,,3.049531001,0.592592593,-0.166666667,1,0.222222222,0.176470588,0,0,0,-0.055555556,0.689481461,0.590986359,,,,,,,,,,,,,,
86,Waechterlied,,2.930829632,0.580666667,-0.04,1,0.26,0.102040816,0,-0.014705882,-0.2,0,0.739480144,0.503347887,,,,,,,,,,,,,,
87,Waechterlied,,0.710175024,0.488405797,-0.130434783,-1,0.211538462,0.144444444,0,0,-0.173913043,0,0.685667491,0.484466655,,,,,,,,,,,,,,
88,Der Waechter,,0.000341559,0.361111111,-0.194444444,-1,0.011111111,0.071428571,-0.018518519,0,-0.111111111,-0.105555556,0.794665066,0.191655329,,,,,,,,,,,,,,
89,Haett ich den Schluessel zum Tage,,1.268995518,0.589285714,0.136363636,-1,0.319148936,0.011627907,-0.016666667,-0.016666667,-0.045454545,-0.022727273,0.641337308,0.672747167,,,,,,,,,,,,,,
90,Tagelied,,2.679842006,0.536231884,-0.086956522,0.5,0.138297872,0.033333333,0,-0.045454545,-0.260869565,-0.043478261,0.92629248,0.982445329,,,,,,,,,,,,,,
91,Melodie eines Waechterliedes,,0.93017512,0.455882353,-0.176470588,-1,0.409090909,0.044776119,0,0,0,-0.073529412,0.97567853,0.294747208,,,,,,,,,,,,,,
92,Waechterlied,,0.477520182,0.48,0.116666667,-1,0.028301887,0.076271186,0,0,-0.133333333,-0.041111111,0.656425305,0.294299582,,,,,,,,,,,,,,
93,Der Morgenstern ist aufgegangen,,2.960774702,0.670833333,0.125,1,0.4,0.096774194,0,0,0,-0.095833333,0.460144126,0.303856383,,,,,,,,,,,,,,
94,Der Morgenstern,,1.12579374,0.648148148,0.194444444,-1,0.318181818,0.057142857,0,0,0,-0.175925926,0.852795411,0.231006986,,,,,,,,,,,,,,
95,Waechterlied,,2.601691244,0.472857143,-0.171428571,1,0.137931034,0.02173913,0,-0.044247788,-0.257142857,-0.09952381,0.738387384,0.803119578,,,,,,,,,,,,,,
96,Tagelied,,-0.118537539,0.278571429,-0.05,-1,-0.0875,0.026315789,0,0,0,-0.075,0.637091972,0.15198327,,,,,,,,,,,,,,
97,Der Maibaum,,1.117523752,0.56372549,0.117647059,-1,0.309090909,0.075757576,0,0,0,-0.049019608,0.903034368,0.197287958,,,,,,,,,,,,,,
98,Maibaum und Abschied,,0.620151334,0.415555556,-0.133333333,-1,0.076388889,0.033898305,0,0,-0.233333333,-0.066666667,0.937453119,0.590188799,,,,,,,,,,,,,,
99,Waldvoegeleins Bitte,,1.148646395,0.623684211,0.131578947,-1,0.411764706,0.094594595,0,0,-0.157894737,-0.118421053,0.754104516,0.409235209,,,,,,,,,,,,,,
100,Die Sonne ist verblichen,,0.586160144,0.414285714,-0.153846154,-1,0.232876712,0.029411765,0,-0.011363636,-0.038461538,-0.099358974,0.833584866,0.37903139,,,,,,,,,,,,,,
101,Die Sonne ist verblichen,,0.230825741,0.466049383,-0.166666667,-1,0.142857143,0.094339623,0,-0.029411765,0,-0.027777778,0.586453089,0.164982714,,,,,,,,,,,,,,
102,Die Sonne ist verblichen,,0.172363501,0.398611111,-0.0625,-1,0.046296296,0.053191489,0,-0.028985507,-0.166666667,-0.125,0.704360447,0.353056332,,,,,,,,,,,,,,
103,Harter Entschluss,,1.404897796,0.558333333,0.194444444,-1,0.375,0.085714286,0,0,0,-0.114814815,0.80619338,0.500027168,,,,,,,,,,,,,,
104,Meins Herzens Schoene,,2.413447417,0.56091954,0.068965517,0.5,0.363636364,0.035087719,0,-0.013333333,-0.137931034,-0.195402299,0.761251977,0.470252967,,,,,,,,,,,,,,
105,Um Frauen willen,,0.169917866,0.414646465,-0.181818182,-1,0.141176471,0.053846154,0,0,-0.151515152,-0.101010101,0.867345587,0.127246624,,,,,,,,,,,,,,
106,Parodie einer unbekannten Tageweise,,-0.083195863,0.437468672,-0.078947368,-1,0.048387097,0.013513514,0,-0.014925373,-0.368421053,-0.026315789,0.804349524,0.101694915,,,,,,,,,,,,,,
107,Minnelied,,1.535916839,0.638888889,0.366666667,-1,0.56097561,0.051724138,-0.021276596,0,0,-0.205555556,0.793173115,0.351320572,,,,,,,,,,,,,,
108,Liebeshoffnung,,3.491725689,0.568452381,0.232142857,1,0.294871795,0.136363636,0,0,-0.142857143,-0.098214286,0.911615136,0.589351313,,,,,,,,,,,,,,
109,Liebeshoffnung,,1.81150636,0.586956522,0.217391304,-1,0.52,0.111111111,0,0,0,-0.079710145,0.923545192,0.532212376,,,,,,,,,,,,,,
110,Liebeshoffnung,,1.608552285,0.50617284,0.166666667,-1,0.481481481,0.132075472,0,-0.035714286,-0.037037037,-0.12037037,0.873230892,0.642046628,,,,,,,,,,,,,,
111,Minnelied,,0.761670168,0.564814815,0.166666667,-1,0.25,0.114285714,0,0,-0.333333333,-0.055555556,0.811767651,0.24302421,,,,,,,,,,,,,,
112,Lieblich gesellet,,3.699711269,0.597701149,0.24137931,1,0.419354839,0.114035088,-0.018181818,0,0,-0.063218391,0.83447093,0.574170162,,,,,,,,,,,,,,
113,"Ach, herzigs Herz!",,0.208215163,0.601851852,0.111111111,-1,0.038461538,0.1,0,-0.02173913,-0.277777778,-0.055555556,0.508260205,0.20360292,,,,,,,,,,,,,,
114,Jungbrunnen,,2.116320701,0.648148148,0.277777778,-1,1,0,0,-0.156862745,0,-0.097222222,0.902773912,0.541705831,,,,,,,,,,,,,,
115,Jungbrunnen,,0.486134901,0.397058824,-0.235294118,-1,0.086956522,0,0,0,-0.176470588,-0.014705882,1,0.428590144,,,,,,,,,,,,,,
116,Es flog ein kleins Waldvoegelein,,1.952451703,0.721568627,0.294117647,-1,0.609090909,0.03030303,0,0,0,-0.075490196,0.902678767,0.470182918,,,,,,,,,,,,,,
117,Herzens Schluessel,,1.396095147,0.615942029,0.260869565,-1,0.533333333,0.1,0,-0.050847458,0,-0.202898551,0.699356437,0.440339791,,,,,,,,,,,,,,
118,Herzens Schluessel,,3.524672281,0.659722222,0.3125,1,0.455555556,0.085106383,0,0,-0.166666667,-0.1875,0.927209589,0.438745197,,,,,,,,,,,,,,
119,Rosengarten,,1.725516998,0.651960784,0.382352941,-1,0.436507937,0.121212121,0,0,0,-0.204901961,0.933994689,0.404390487,,,,,,,,,,,,,,
120,Wurzgaertelein,,2.301968128,0.758730159,0.238095238,0.5,0.326086957,0.109756098,0,-0.085106383,-0.047619048,-0.095238095,0.342870438,0.254392765,,,,,,,,,,,,,,
121,Sommerlied,,0.946518416,0.606666667,0.1,-1,0.081081081,0.081632653,0,0,-0.08,-0.05,0.962250859,0.244887156,,,,,,,,,,,,,,
122,Weltliches Mailied,,1.176112361,0.538461538,0.230769231,-1,0.4625,0.06,0,0,0,-0.141025641,0.816260891,0.209146341,,,,,,,,,,,,,,
123,Bunte Blumen,,1.058407623,0.465686275,0.147058824,-1,0.131578947,0,0,0,0,-0.225490196,1,0.539573774,,,,,,,,,,,,,,
124,Roth Roeslein,,-0.597487637,0.266666667,-0.366666667,-1,-0.25,0.034482759,0,0,0,-0.2,0.658770346,0.259259259,,,,,,,,,,,,,,
125,Jahreszeiten und Liebe,,0.344139776,0.438596491,-0.105263158,-1,0.175,0.067567568,0,0,0,-0.157894737,0.753444536,0.172689076,,,,,,,,,,,,,,
126,Jahreszeiten und Liebe,,-0.640044228,0.30952381,-0.25,-1,-0.047619048,0.055555556,0,0,-0.285714286,-0.113095238,0.509486797,0.181818182,,,,,,,,,,,,,,
127,Winterleid oder Mass in allen Dingen,,0.072206595,0.541666667,-0.083333333,-1,-0.083333333,0.043478261,0,0,-0.333333333,-0.083333333,0.94407225,0.126322751,,,,,,,,,,,,,,
128,Winter,,1.03492474,0.547619048,0.107142857,-1,0.3125,0,0,0,0,-0.119047619,0.8067925,0.379917954,,,,,,,,,,,,,,
129,Reif und Schnee,,2.849476765,0.705555556,0.055555556,1,0.481481481,0.058823529,0,0,0,-0.216666667,0.521137566,0.243589744,,,,,,,,,,,,,,
130,Nachtigall,,0.633032421,0.51754386,0,-1,0.245614035,0.162162162,0,0,-0.263157895,-0.166666667,0.784124659,0.353412266,,,,,,,,,,,,,,
131,Frau Nachtigall,,0.41238187,0.480392157,0.147058824,-1,0.166666667,0.045454545,0,-0.027777778,-0.058823529,-0.098039216,0.522156082,0.235294118,,,,,,,,,,,,,,
132,Frau Nachtigall,,-0.154641587,0.371212121,-0.318181818,-1,0.016129032,0.071428571,0,0,0,-0.128787879,0.762129814,0.071428571,,,,,,,,,,,,,,
133,Guter Rath fuer Liebesleute,,0.043920822,0.437777778,0,-1,0.03030303,0.034482759,0,-0.022222222,-0.266666667,-0.066666667,0.66011569,0.236797121,,,,,,,,,,,,,,
134,Verschneiter Weg,,1.185584314,0.642307692,0.192307692,-1,0.395348837,0.08,0,-0.02173913,-0.076923077,-0.243589744,0.754616377,0.463255667,,,,,,,,,,,,,,
135,Kuckuk,,0.622296494,0.535897436,0.115384615,-1,0.296296296,0.14,0,-0.026315789,-0.153846154,-0.092307692,0.594433524,0.212754257,,,,,,,,,,,,,,
136,Kuckuks Fall,,0.111347308,0.352941176,0.029411765,-1,-0.3,0.045454545,0,0,0,-0.029411765,0.848687157,0.164264429,,,,,,,,,,,,,,
137,Alte Kuckukslieder (Kuckuks Ausflug),,1.559204728,0.758333333,0.2,-1,0.52,0.078947368,0,0,0,-0.125,0.968566952,0.158357075,,,,,,,,,,,,,,
138,Alte Kuckukslieder (Kuckuks Verachtung),,0.225650786,0.422222222,-0.166666667,-1,0.129032258,0.103448276,0,0,0,-0.244444444,0.765682006,0.216377135,,,,,,,,,,,,,,
139,Alte Kuckukslieder (Kuckuks Noth),,0.251865512,0.362318841,-0.173913043,-1,0.05,0.044444444,0,0,0,-0.043478261,0.846656161,0.165837371,,,,,,,,,,,,,,
140,Kaeuzlein,,0.950061583,0.547619048,0.214285714,-1,0.256756757,0.185185185,0,0,-0.071428571,-0.103571429,0.663455095,0.257759784,,,,,,,,,,,,,,
141,Kaeuzlein,,-0.124624527,0.269230769,-0.538461538,-1,-0.043478261,0.06,0,0,0,-0.252564103,0.779016353,0.601632253,,,,,,,,,,,,,,
142,Lindenlaub,,2.429704643,0.720833333,0.125,0.5,0.5,0.043478261,-0.026315789,0,0,-0.259722222,0.677031661,0.149399399,,,,,,,,,,,,,,
143,"Nun laube, Lindlein, laube",,0.900608002,0.55,0.25,-1,0.25,0,0,-0.034482759,-0.3,0,0.945090761,0.24,,,,,,,,,,,,,,
144,Die Linde im Thal,,2.381577952,0.647435897,0.269230769,0.5,0.397058824,0.16,-0.025,-0.05,-0.153846154,-0.108974359,0.531975243,0.213697731,,,,,,,,,,,,,,
145,Die Linde im Thal,,0.220561033,0.415750916,-0.153846154,-1,0.085714286,0.06,0,-0.075,-0.307692308,-0.064102564,0.50445002,0.755286838,,,,,,,,,,,,,,
146,Espen - Zweiglein,,-0.234637458,0.387179487,-0.153846154,-1,0.055555556,0.04,0,-0.023255814,-0.153846154,-0.083333333,0.545177061,0.151731894,,,,,,,,,,,,,,
147,Espen - Zweiglein,,0.805693909,0.494444444,0,-1,0.323529412,0.217391304,0,-0.027777778,0,-0.083333333,0.594093661,0.287346199,,,,,,,,,,,,,,
148,Lass rauschen!,,0.270376046,0.470614035,-0.092105263,-1,0.163793103,0.013333333,0,-0.028846154,-0.184210526,-0.076754386,0.666394601,0.338157303,,,,,,,,,,,,,,
149,Sichelein - Rauschen,,-0.711750324,0.254761905,-0.428571429,-1,0.017857143,0,0,-0.029411765,-0.071428571,-0.053571429,0.472605757,0.126008065,,,,,,,,,,,,,,
150,Sichelein - Rauschen,,0.601423903,0.37037037,-0.166666667,-1,0.107142857,0.147058824,0,0,0,-0.064814815,1,0.208333333,,,,,,,,,,,,,,
151,Drei Fraeulein,,-0.653183837,0.343333333,-0.3,-1,-0.055555556,0.086206897,0,-0.052631579,0,-0.155555556,0.345132738,0.135885886,,,,,,,,,,,,,,
152,Uebersetzung,,-0.114526572,0.412121212,-0.227272727,-1,0.096774194,0,0,0,0,-0.166666667,0.626819937,0.143697479,,,,,,,,,,,,,,
